"","lights","Press_mm_hg","RH_1","RH_2","RH_3","RH_4","RH_5","RH_6","RH_7","RH_8","RH_9","RH_out","T_out","T1","T2","T6","T7","T8","hour","time_of_day","day_of_year","logAppliances","logVisibility","logWindspeed","logTdewpoint","logT9","logT3","logT4","logT5"
"1",30,733.5,47.5966666666667,44.79,44.73,45.5666666666667,55.2,84.2566666666667,41.6266666666667,48.9,45.53,92,6.6,19.89,19.2,7.02666666666667,17.2,18.2,17,5,11,1.63684319755826,25.0584088657007,2.65119859322895,7.66262117846606,1.44283116801369,1.10545850826429,5.8631526846132,0.835538105330014
"2",30,733.6,46.6933333333333,44.7225,44.79,45.9925,55.2,84.0633333333333,41.56,48.8633333333333,45.56,92,6.48333333333333,19.89,19.2,6.83333333333333,17.2,18.2,17,5,11,1.63684319755826,23.9090530341228,2.56385810662684,7.60343206766029,1.44324737078762,1.10545850826429,5.8631526846132,0.835538105330014
"3",30,733.7,46.3,44.6266666666667,44.9333333333333,45.89,55.09,83.1566666666667,41.4333333333333,48.73,45.5,92,6.36666666666667,19.89,19.2,6.56,17.2,18.2,17,5,11,1.61629795971556,22.7376579629693,2.47341851278588,7.54413645928275,1.44241370458055,1.10545850826429,5.84967756546387,0.835538105330014
"4",40,733.8,46.0666666666667,44.59,45,45.7233333333333,55.09,83.4233333333333,41.29,48.59,45.4,92,6.25,19.89,19.2,6.43333333333333,17.1333333333333,18.1,17,5,11,1.61629795971556,21.5422262920658,2.37959761866943,7.48473324899087,1.44241370458055,1.10545850826429,5.84292873199276,0.835538105330014
"5",40,733.9,46.3333333333333,44.53,45,45.53,55.09,84.8933333333333,41.23,48.59,45.4,92,6.13333333333333,19.89,19.2,6.36666666666667,17.2,18.1,17,5,11,1.63684319755826,20.3204151641665,2.28207006329301,7.42522131136228,1.44241370458055,1.10545850826429,5.84292873199276,0.835611476744234
"6",40,734,46.0266666666667,44.5,44.9333333333333,45.73,55.03,85.7666666666667,41.26,48.59,45.29,92,6.01666666666667,19.89,19.2,6.3,17.1333333333333,18.1,17,5,11,1.61629795971556,19.0694433070475,2.18045771761723,7.36559949930538,1.44241370458055,1.10545850826429,5.84292873199276,0.835464426750511
"7",50,734.1,45.7666666666667,44.5,44.9,45.79,54.9666666666667,86.09,41.2,48.59,45.29,92,5.9,19.89,19.2,6.26333333333333,17.1333333333333,18.1,18,0,11,1.63684319755826,17.7859626003525,2.07431719709534,7.30586664344827,1.44241370458055,1.10545850826429,5.84292873199276,0.835390439118437
"8",50,734.166666666667,45.56,44.5,44.9,45.8633333333333,54.9,86.4233333333333,41.2,48.59,45.29,91.8333333333333,5.91666666666667,19.8566666666667,19.2,6.19,17.1,18.1,18,0,11,1.63684319755826,17.7859626003525,2.12798415715252,7.29590028817065,1.44241370458055,1.10520200842277,5.84292873199276,0.835390439118437
"9",40,734.233333333333,45.5975,44.4333333333333,44.79,45.79,55,87.2266666666667,41.4,48.59,45.29,91.6666666666667,5.93333333333333,19.79,19.2,6.12333333333333,17.1666666666667,18.1,18,0,11,1.63684319755826,17.7859626003525,2.18045771761723,7.28593080969427,1.44241370458055,1.10520200842277,5.84292873199276,0.835538105330014
"10",40,734.3,46.09,44.4,44.8633333333333,46.0966666666667,55,87.6266666666667,41.5,48.59,45.29,91.5,5.95,19.8566666666667,19.23,6.19,17.2,18.1,18,0,11,1.65268900857331,17.7859626003525,2.23180050095123,7.27595820241809,1.44241370458055,1.10545850826429,5.84292873199276,0.835390439118437
"11",70,734.366666666667,45.8633333333333,44.4,44.9,46.43,55,87.8666666666667,42.7175,48.59,45.29,91.3333333333333,5.96666666666667,19.9266666666667,19.3566666666667,6.19,17.2475,18.1,18,0,11,1.73892153903407,17.7859626003525,2.28207006329301,7.26598246072275,1.44241370458055,1.10545850826429,5.84292873199276,0.835390439118437
